OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
3524,50178593,2015-12-11,2,01403758,Ikroavik Lake,4.97437384,30,19060202010998,390,39009,0,0.167448797479,0.0012409120606,3772215.3823302896
2428,104706259,2014-10-31,2,01402261,Footprint Lake,2.06408446,0,19060202016352,390,39004,0,0.111117551752,5.1599680022e-4,2064084.786960967
6402,50182687,2002-08-08,2,01406316,Middle Salt Lagoon,1.662,0,19060202013024,390,39004,0,0.133065574418,4.16398111763e-4,1661922.3726632944
6753,50178737,2014-10-31,2,NA,NA,2.01512211,0,19060202011067,390,39004,0,0.125464799673,5.02677058549e-4,1609995.7417703993
6829,50182669,2014-10-31,2,01407234,North Salt Lagoon,1.47155174,0,19060202013015,390,39004,0,0.124058833294,3.69067929229e-4,1471551.8308221234
4309,50182781,2015-12-11,2,01403949,Isatkoak Lagoon,1.25397534,0,19060202013067,390,39004,0,0.224562395658,3.13791214519e-4,1253975.4265313328
4587,50182795,2002-08-08,2,01401631,East Twin Lake,1.177,0,19060202013072,390,39004,0,0.0690438371665,2.94271155931e-4,1176903.324558252
227,50182803,2014-10-31,2,01411923,West Twin Lake,1.1644564,0,19060202013076,390,39004,0,0.066251129477,2.91134521583e-4,1164457.337805571
6800,120048506,2014-10-31,2,NA,NA,0.98275728,0,NA,466,46600,0,0.0899339608499,2.45496278965e-4,982757.2807341574
717,50178767,2014-10-31,2,NA,NA,0.85881397,0,19060202011082,390,39004,0,0.0662848298487,2.14193047308e-4,617401.1290009636
2900,50182671,2014-10-31,2,01403782,Imikpuk Lake,0.61607206,0,19060202013016,390,39004,0,0.049212000007,1.54464321709e-4,616072.0839399584
624,50182707,2002-08-08,2,01409968,South Salt Lagoon,0.611,0,19060202013034,390,39004,0,0.0532851971094,1.52925649397e-4,610515.5475317255
3645,50178805,2014-10-31,2,NA,NA,0.34981664,0,19060202011101,390,39004,0,0.0542548503922,8.72737248808e-5,349816.6459786046
6092,120040194,2014-10-31,2,NA,NA,0.31562602,0,19060202009494,390,39004,0,0.0341807618917,7.87704199667e-5,315626.0405736789
5262,50178581,2014-10-31,2,NA,NA,0.27848172,0,19060202010992,390,39004,0,0.0330958929985,6.95189166483e-5,278481.731105078
3667,50182851,2014-10-31,2,NA,NA,0.25054056,0,19060202013099,390,39004,0,0.0468093866694,6.2632725e-5,250540.55165183626
4044,50178673,2014-10-31,2,NA,NA,0.23139217,0,19060202011035,390,39004,0,0.0346741496063,5.77482486709e-5,231392.17531271232
4046,50178865,2014-10-31,2,NA,NA,0.13894841,0,19060202011131,390,39004,0,0.048881238779,3.46582628947e-5,138948.4108718871
1527,50178873,2014-10-31,2,NA,NA,0.48856785,0,19060202011135,390,39004,0,0.0480754314463,1.21873541788e-4,120949.29815955344
