OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
2562,151522260,2006-11-18,2,NA,NA,0.174,0,11140104001189,390,39004,500000,0.025688871645,1.71541279645e-5,174441.33968573232
1686,151522085,2006-11-18,2,01757158,Upper Clear Boggy Creek Site 32 Reservoir,0.129,0,11140104001183,390,39004,500000,0.0324801389911,1.2648310563e-5,128601.59605197604
3372,129258731,2004-11-11,2,01752244,Sandy Creek Site 11 Reservoir,0.122,337.7,11090202021144,390,39009,500000,0.0217757169381,1.20336974316e-5,122355.71292289865
5960,{093E6FED-BDDB-479E-AB91-F1312DCD74FE},2012-04-26,2,NA,NA,0.12155715,0,11140102008009,390,39011,500000,0.017385098809,1.19521640424e-5,121557.14562480897
6341,151522348,2006-11-18,2,01757154,Upper Clear Boggy Creek Site 30 Reservoir,0.1,0,11140104001192,390,39004,500000,0.0165136248354,9.86065892938e-6,100282.61338806927
4561,137670039,2013-02-25,2,NA,NA,0.09750656,0,11140102005909,390,39004,500000,0.0189009261558,9.58657880675e-6,97506.56025237404
3476,137670036,2013-02-25,2,NA,NA,0.08190218,0,11140102005906,390,39004,500000,0.0173918921378,8.05252574978e-6,81902.17671231739
4904,137689181,2005-07-30,2,NA,NA,0.078,0,11130304000523,390,39004,250000,0.0125536063555,7.61939684974e-6,77649.89039086876
1936,137689075,2005-07-30,2,NA,NA,0.074,0,11130304000516,390,39004,500000,0.0164190828337,7.22297313309e-6,73587.48554585964
1687,151522098,2013-02-11,2,01751205,Oknoname 123016 Reservoir,0.04905608,0,11140104001185,390,39004,500000,0.0172220673166,4.82484384497e-6,49056.07525925727
8207,{6A4C7E8A-0F3C-44C3-9777-DE08A3E61F93},2013-01-31,2,NA,NA,0.04694547,0,11140104011754,390,39011,250000,0.0103653404921,4.61487407064e-6,46945.47999539599
4850,137670028,2005-07-30,2,NA,NA,0.045,0,11140102002218,390,39004,250000,0.00824374692283,4.46670905056e-6,45429.92684879992
3185,137670032,2013-02-25,2,NA,NA,0.04498632,0,11140102000466,390,39004,250000,0.00951331867732,4.42302718722e-6,44986.320253434125
3680,137670052,2013-02-25,2,NA,NA,0.03986279,0,11140102005910,390,39004,250000,0.00885207077587,3.91909029135e-6,39862.79480237886
