OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
2496,90621330,2013-03-01,2,00131471,Demopolis Lake,16.84941386,0,03160113006830,390,39004,5000000,3.38612284242,0.00161859467455,8111362.438007567
1888,90621330,2013-03-01,2,00131471,Demopolis Lake,16.84941386,0,03160113006830,390,39004,5000000,3.38612284242,0.00161859467455,8111362.438007567
2464,90621330,2013-03-01,2,00131471,Demopolis Lake,16.84941386,0,03160113006830,390,39004,5000000,3.38612284242,0.00161859467455,8111362.438007567
2534,90622574,2003-07-14,2,NA,NA,0.494,0,03160113003046,390,39004,1000000,0.0611748272949,4.74523534415e-5,494052.47710199107
926,146524200,2008-08-18,2,NA,NA,2.628,0,03160106009440,390,39004,2000000,0.529740008337,2.5243529307e-4,288523.93473123235
2903,90622880,2003-07-14,2,NA,NA,0.276,0,03160113003067,390,39004,500000,0.0515637046256,2.65031819044e-5,276072.6656320522
2410,90622642,2008-07-15,2,NA,NA,1.382,0,03160113007519,390,39004,5000000,0.292986310604,1.32719788782e-4,71777.75785927862
2378,90622664,2003-07-14,2,NA,NA,0.067,0,03160113007244,390,39004,250000,0.0330752319392,6.4091830334e-6,66744.36196962761
835,149029774,2006-06-12,2,NA,NA,0.048,0,03160201002765,390,39004,250000,0.0248495943593,4.65043029441e-6,48455.74335761257
2691,{8F504371-D026-4E52-8C34-ECAB78926321},2013-03-01,2,00131471,Demopolis Lake,12.74219057,0,03160106009657,390,39004,5000000,2.43693399236,0.00122496528342,45585.66817382921
2447,90622646,2003-07-14,2,NA,NA,0.043,0,03160113007240,390,39004,250000,0.010044543223,4.14180010273e-6,43127.87863109303
2487,90622650,2003-07-14,2,NA,NA,0.043,0,03160113007241,390,39004,250000,0.0202195711382,4.10412113615e-6,42737.15258690546
2369,90622654,2003-07-14,2,NA,NA,0.036,0,03160113003052,390,39004,500000,0.0138998014653,3.46227351814e-6,36051.98485174868
2442,90622946,2003-07-14,2,NA,NA,0.032,0,03160113007334,390,39004,5000000,0.0131233118952,3.06223965934e-6,31899.251923135133
2539,90622686,2003-07-14,2,NA,NA,0.027,0,03160113007252,390,39004,250000,0.0148809791039,2.58719172752e-6,26942.959131906755
2503,90622676,2003-07-14,2,NA,NA,0.021,0,03160113007247,390,39004,250000,0.00992055321086,2.03156598926e-6,21156.051674995862
2424,90622660,2003-07-14,2,NA,NA,0.021,0,03160113003056,390,39004,250000,0.00813306074592,1.97074617389e-6,20522.280382414974
2915,90622878,2003-07-14,2,NA,NA,0.02,0,03160113003064,390,39004,100000,0.00734442734342,1.89192494523e-6,19707.36772868804
2942,90623128,2003-07-14,2,NA,NA,0.019,0,03160113003083,390,39004,100000,0.00712337656936,1.87002325642e-6,19487.029663891146
2398,90622628,2003-07-14,2,NA,NA,0.019,0,03160113003050,390,39004,100000,0.00982891067669,1.85526874313e-6,19317.546589539474
2927,90623082,2003-07-14,2,NA,NA,0.016,0,03160113003078,390,39004,100000,0.00693166588881,1.527660353e-6,15917.782175942659
807,149029771,2006-06-12,2,NA,NA,0.016,0,03160201002764,390,39004,100000,0.00623936289884,1.52286827528e-6,15866.863626856
2552,90623048,2003-07-14,2,NA,NA,0.016,0,03160113003075,390,39004,100000,0.00564261741532,1.48969165318e-6,15521.330584940675
2543,90622916,2003-07-14,2,NA,NA,0.014,0,03160113007332,390,39004,100000,0.0119161797445,1.35501514692e-6,14114.60391548276
2900,90623126,2003-07-14,2,NA,NA,0.011,0,03160113003082,390,39004,100000,0.00393314897143,1.02580836792e-6,10689.660782286897
2491,90622662,2003-07-14,2,NA,NA,0.01,0,03160113007243,390,39004,100000,0.00581840715631,9.8793642137e-7,10287.827548669928
