OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
16358,112059179,2013-10-19,2,NA,NA,36.17747586,0,NA,466,46600,5000000,1.66415823255,0.00332115480364,24223881.563343607
14673,112059235,2013-08-19,2,NA,NA,16.94438034,0,NA,466,46600,5000000,0.368908186629,0.00155601981007,5535832.103059079
14582,112040099,2009-09-10,2,00290080,Lake Russell,3.019,16.8,03090101033525,390,39009,5000000,0.0705541791476,2.77275461035e-4,3018712.365068738
13506,112059973,2014-09-09,2,NA,NA,4.16481426,0,NA,466,46600,5000000,0.186386359508,3.82285223496e-4,2112844.96673549
1501,112040829,2013-08-19,2,NA,NA,1.90059876,0,NA,466,46600,500000,0.116104061203,1.74467278185e-4,1900598.7880627597
14321,112041581,2013-10-19,2,00294032,Lake Hatchineha,23.76502742,15.8,03090101034155,390,39009,5000000,0.388371459921,0.00218069591022,1861489.9749203145
7303,112059279,2013-08-19,2,NA,NA,0.98350193,0,NA,466,46600,250000,0.0464608292083,9.02969813039e-5,983501.9246225494
4849,112040719,2013-08-19,2,NA,NA,0.9449132,0,NA,466,46600,250000,0.0870204471478,8.67476886971e-5,944913.1318107259
15544,112058629,2013-08-19,2,NA,NA,0.65367883,0,NA,466,46600,250000,0.0299402829533,6.00333262973e-5,653678.7867500526
5806,112058425,2003-11-20,2,NA,NA,0.559,0,NA,466,46600,250000,0.0417730140844,5.13091192785e-5,558667.6323301475
3238,112058085,2013-08-19,2,NA,NA,0.46932362,0,NA,466,46600,250000,0.0508266001338,4.31089632083e-5,469323.567655181
4654,112058807,2013-08-19,2,NA,NA,0.41274126,0,NA,466,46600,250000,0.0272295470315,3.79009340083e-5,412741.2594858315
17736,112058919,2013-08-19,2,NA,NA,0.37949739,0,NA,466,46600,250000,0.0307507758047,3.48511757821e-5,379497.3929286882
6024,112040241,2013-08-19,2,NA,NA,0.35245008,0,NA,466,46600,250000,0.0344522789182,3.23693703822e-5,352450.0790963397
