OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
85,120047104,2013-11-12,2,NA,NA,1.62331223,0,NA,466,46600,0,0.181138883592,1.38480227514e-4,879523.1310319442
827,26388313,2013-05-08,2,NA,NA,0.27686986,0,NA,466,46600,0,0.0482597338038,2.36140772623e-5,276869.85840553977
765,120047110,2004-03-16,2,NA,NA,0.081,0,NA,466,46600,0,0.0148345824509,6.90765122521e-6,80994.7801484993
732,26388251,1994-01-01,2,NA,NA,0.081,0,NA,466,46600,0,0.0130302597829,6.9052014341e-6,80964.6218955412
733,26388691,2013-05-08,2,NA,NA,0.04469129,0,NA,466,46600,0,0.0121364813565,3.81168088233e-6,44691.291424784235
758,120012542,2016-07-06,2,NA,NA,0.03900608,0,NA,436,43607,0,0.00850251460238,3.32681069261e-6,39006.07230247045
780,26388249,1994-01-01,2,NA,NA,0.036,0,21010004005435,390,39004,0,0.0122552348328,3.11064303704e-6,36471.2436892119
764,26388717,2013-05-08,2,NA,NA,0.02807345,0,NA,466,46600,0,0.0108464194175,2.39434247589e-6,28073.451255188116
102,26388243,2016-07-06,2,NA,NA,0.02616419,0,21010004005412,390,39004,0,0.00711626214917,2.2315558791e-6,26164.189514003345
731,26385153,1994-01-01,2,NA,NA,0.02,0,21010004005360,390,39004,0,0.00517776577236,1.69584763694e-6,19876.091581348912
905,{5883FE63-EB96-4AB6-B5C4-747FE184A04B},2016-07-06,2,NA,NA,0.01853656,0,21010004006319,390,39000,0,0.00660307403974,1.58098599904e-6,18536.55864488217
812,26388319,1994-01-01,2,NA,NA,0.015,0,NA,466,46600,0,0.00696159580261,1.29836080931e-6,15223.614008360193
751,26388675,2013-05-08,2,NA,NA,0.01400922,0,NA,466,46600,0,0.0116296887977,1.19484285739e-6,14009.22220108947
754,26385155,1994-01-01,2,NA,NA,0.01,0,21010004005361,390,39004,0,0.00371115436768,8.6218817732e-7,10105.241677118
