OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
834,141007825,2021-03-25,2,00619370,Quabbin Reservoir,96.85048087,0,01080204001231,390,39009,5000000,2.38781939501,0.0105887510192,13490504.612349443
335,141007196,2021-03-25,2,NA,NA,2.37272919,0,01080204001183,390,39009,2000000,0.286790322644,2.59491448763e-4,2372729.185808563
838,136018516,2005-06-06,2,NA,NA,0.846,0,01080202000638,390,39004,5000000,0.113742645392,9.268501459e-5,845660.7376669914
858,141008722,2008-04-02,2,NA,NA,0.572,0,NA,466,46600,5000000,0.0729528363397,6.26798350032e-5,572180.9703375642
38,141008722,2008-04-02,2,NA,NA,0.572,0,NA,466,46600,5000000,0.0729528363397,6.26798350032e-5,572180.9703375642
3256,141006828,2021-03-25,2,00609973,Queen Lake,0.56249919,0,01080204001436,390,39009,1000000,0.0528890682371,6.16375145308e-5,562499.1903750335
1625,141008990,2005-10-04,2,00609668,Higgins Swamp,0.66,0,NA,466,46600,250000,0.0587100069288,7.21449867739e-5,540125.7762337772
1583,141009107,2005-10-04,2,00609667,Hemingway Swamp,0.452,0,NA,466,46600,250000,0.0360931863117,4.94187842022e-5,451962.8548196908
3228,141008690,2005-10-04,2,NA,NA,0.44,0,NA,466,46600,250000,0.0385269525174,4.82019754236e-5,439976.3457477634
1903,141009157,2005-10-04,2,NA,NA,0.937,0,NA,466,46600,250000,0.0632517720889,1.02425252093e-4,413702.6456136093
59,136019559,2005-06-06,2,NA,NA,0.401,0,NA,466,46600,5000000,0.0439405807144,4.39606406746e-5,400999.3999958374
1615,141008888,2005-10-04,2,NA,NA,0.399,0,NA,466,46600,250000,0.0502300455925,4.36689529133e-5,399059.7720041363
907,141006964,2021-03-25,2,00609636,Harvard Pond,0.34986276,0,01080204001133,390,39009,1000000,0.0683709124823,3.83178359787e-5,349862.7604154531
24,136018542,2005-06-06,2,00609480,South Athol Pond,0.335,0,01080202000640,390,39004,5000000,0.0409813580008,3.67137032705e-5,335034.8479494225
334,141008995,2021-03-25,2,NA,NA,0.28959296,0,NA,466,46600,100000,0.0415875633794,3.16815918038e-5,289592.9645031033
3227,141008684,2005-10-04,2,NA,NA,0.278,0,NA,466,46600,100000,0.0372698069469,3.04790833898e-5,278194.5216272335
1554,141009059,2005-10-04,2,NA,NA,0.258,0,NA,466,46600,100000,0.0323232092319,2.81906946614e-5,257820.92394110488
846,136018491,2005-06-06,2,00609498,White Pond,0.253,0,01080202000632,390,39004,5000000,0.0329387934162,2.77814754116e-5,253467.5861462042
98,136018529,2005-06-06,2,00609703,Riceville Pond,0.248,0,01080202000639,390,39004,5000000,0.0496073555292,2.72136695889e-5,248373.94440829314
839,136019671,2005-06-06,2,NA,NA,0.231,0,NA,466,46600,5000000,0.0308440156082,2.52639263327e-5,230643.950950352
837,136019671,2005-06-06,2,NA,NA,0.231,0,NA,466,46600,5000000,0.0308440156082,2.52639263327e-5,230643.950950352
1555,141009008,2005-10-04,2,NA,NA,0.226,0,NA,466,46600,100000,0.0299773520806,2.46759907034e-5,225629.25511367343
3225,141008632,2005-10-04,2,NA,NA,0.208,0,NA,466,46600,100000,0.0303508065373,2.28328648669e-5,205889.6131418557
99,136018382,2005-06-06,2,00609701,Reservoir Number Two,0.196,0,01080202000615,436,43613,5000000,0.0422920572281,2.14394418646e-5,195551.720474967
1716,141007082,2021-03-25,2,00609642,Carter Pond,0.17949216,0,01080204001164,390,39009,500000,0.0225385704545,1.96376516057e-5,179492.1631959026
865,136018565,2005-06-06,2,00609455,North Spectacle Pond,0.174,0,01080202000645,390,39004,5000000,0.0200365713289,1.90188229676e-5,173602.04393806166
861,136018553,2005-06-06,2,NA,NA,0.168,0,01080202000641,390,39004,5000000,0.0275316470714,1.84606445138e-5,168481.5108709815
106,136018358,2009-09-11,2,00609658,Lake Ellis,0.354,0,01080202000610,390,39004,5000000,0.067687213994,3.88460708328e-5,166715.7673954234
14,136019670,2005-06-06,2,NA,NA,0.167,0,NA,466,46600,5000000,0.0266672665553,1.82661687656e-5,166669.4622295062
82,136018574,2005-06-06,2,00609481,South Spectacle Pond,0.153,0,01080202000650,390,39004,5000000,0.0228917939061,1.67989825634e-5,153352.65485619172
248,141008889,2005-10-04,2,NA,NA,0.152,0,NA,466,46600,100000,0.0389249296754,1.66166850728e-5,151790.86951141377
3207,141008679,2005-10-04,2,NA,NA,0.147,0,NA,466,46600,100000,0.0262872835268,1.6088673399e-5,146825.2412377664
3253,141006885,2005-10-04,2,NA,NA,0.144,323.5,01080204003736,390,39009,500000,0.0228911257883,1.57429010133e-5,143724.59628029296
75,136018462,2005-06-06,2,00609475,Lake Rohunta,0.139,0,01080202000630,390,39004,5000000,0.0214061679405,1.52450190505e-5,139056.34422376947
1629,141008797,2005-10-04,2,NA,NA,0.136,0,NA,466,46600,100000,0.0359319437342,1.48483948273e-5,135609.24643217918
80,136018374,2005-06-06,2,00609631,Bates Powers Reservoir,0.133,0,01080202000656,436,43613,5000000,0.0233001641774,1.45924135058e-5,133101.78137368744
239,141009024,2005-10-04,2,NA,NA,0.133,0,NA,466,46600,250000,0.0290161745372,1.45572801305e-5,133089.36025748
846,141008813,2005-10-04,2,NA,NA,0.124,0,NA,466,46600,5000000,0.0151467479501,1.35402672714e-5,123633.25123323873
856,141008813,2005-10-04,2,NA,NA,0.124,0,NA,466,46600,5000000,0.0151467479501,1.35402672714e-5,123633.25123323873
31,136018478,2005-06-06,2,00609652,Davenport Pond,0.123,0,01080202000634,390,39004,5000000,0.0227887084072,1.34923375737e-5,123109.79789883966
826,141007065,2021-03-25,2,NA,NA,0.12067556,0,01080204001158,390,39009,500000,0.0338692345333,1.32072972124e-5,120675.55545631333
1616,141009066,2005-10-04,2,NA,NA,0.119,0,NA,466,46600,100000,0.0191155512239,1.3033400315e-5,119201.98853460047
887,141008718,2005-10-04,2,NA,NA,0.118,0,NA,466,46600,100000,0.0251359726662,1.29134778644e-5,117879.53906568434
1701,141006949,2021-03-25,2,NA,NA,0.10729762,0,01080204001448,390,39009,500000,0.0201081943034,1.17483457302e-5,107297.62026396926
3224,141008730,2005-10-04,2,NA,NA,0.106,0,NA,466,46600,100000,0.0155422025547,1.16290473106e-5,106173.0427042123
125,136019615,2005-06-06,2,NA,NA,0.099,0,NA,466,46600,5000000,0.0331775144358,1.08204007353e-5,98732.32245688864
1676,141008951,2005-10-04,2,NA,NA,0.096,0,NA,466,46600,100000,0.0167278518867,1.04854966919e-5,95838.63115758868
163,136019565,2005-06-06,2,NA,NA,0.095,0,NA,466,46600,5000000,0.0154958862511,1.03998124321e-5,94875.70661816833
1680,141008747,2005-10-04,2,NA,NA,0.093,0,NA,466,46600,100000,0.041839900847,1.01715556818e-5,92880.32777454541
1707,141007028,2021-03-25,2,00609649,Connor Pond,0.0909389,0,01080204001145,390,39004,1000000,0.0261256191109,9.95388882471e-6,90938.89879037792
1571,141008766,2005-10-04,2,NA,NA,0.08,0,NA,466,46600,100000,0.0220489961543,8.76752100615e-6,80064.32534282241
144,136019612,2005-06-06,2,NA,NA,0.079,0,NA,466,46600,5000000,0.0273772060099,8.63704278875e-6,78805.040358246
153,136019664,2005-06-06,2,NA,NA,0.078,0,NA,466,46600,5000000,0.0211056349987,8.53979649568e-6,77950.77304539867
33,136019552,2005-06-06,2,NA,NA,0.078,0,NA,466,46600,5000000,0.0204733142599,8.50046300033e-6,77527.88215938103
289,141007053,2005-10-04,2,NA,NA,0.076,0,01080204003869,390,39004,500000,0.0150123335282,8.35980403407e-6,76367.07860516036
89,136019531,2005-06-06,2,NA,NA,0.076,0,NA,466,46600,5000000,0.0163728676334,8.34438704524e-6,76108.11263572569
870,141008775,2005-10-04,2,NA,NA,0.076,0,NA,466,46600,100000,0.0116124627336,8.32137794306e-6,75974.99534620157
908,141008728,2021-03-25,2,NA,NA,0.07553464,0,NA,466,46600,100000,0.0258856834581,8.27366940101e-6,75534.64075997997
848,136019672,2005-06-06,2,NA,NA,0.075,0,NA,466,46600,5000000,0.0208945166455,8.25898988327e-6,75397.52296605089
284,141008833,2005-10-04,2,NA,NA,0.074,0,NA,466,46600,250000,0.0129884176101,8.08073827716e-6,73796.14903390268
885,141008788,2005-10-04,2,NA,NA,0.074,0,NA,466,46600,100000,0.0235187114639,8.05808833942e-6,73570.9737676439
851,136019667,2005-06-06,2,NA,NA,0.074,0,NA,466,46600,5000000,0.0224865402865,8.05929265937e-6,73568.62197561184
139,136018584,2005-06-06,2,00609378,Bassett Pond,0.105,0,01080202000657,390,39004,5000000,0.0175641362375,1.15310583776e-5,72819.96141727659
1553,141009047,2005-10-04,2,NA,NA,0.07,0,NA,466,46600,100000,0.0160179732099,7.66434666065e-6,70085.45494797833
911,141008704,2021-03-25,2,NA,NA,0.06942641,0,NA,466,46600,100000,0.0230893043717,7.60617767192e-6,69426.40690510932
3230,141008719,2005-10-04,2,NA,NA,0.069,0,NA,466,46600,100000,0.0144540590026,7.50863364333e-6,68544.03536648832
39,136019601,2005-06-06,2,NA,NA,0.069,0,NA,466,46600,5000000,0.0152525386065,7.51105939671e-6,68542.74472428103
283,141008915,2005-10-04,2,NA,NA,0.067,0,NA,466,46600,100000,0.0175543111547,7.34895781496e-6,67145.67275024392
872,141008671,2005-10-04,2,NA,NA,0.067,0,NA,466,46600,100000,0.0144321328299,7.342757855e-6,67001.07209051852
910,141007016,2021-03-25,2,NA,NA,0.06551114,0,01080204001142,390,39004,500000,0.0142980545638,7.17258150219e-6,65511.13974765643
1705,141007060,2021-03-25,2,NA,NA,0.06468876,0,01080204001157,390,39009,250000,0.0160227336717,7.07844781796e-6,64688.763644373044
892,141008733,2005-10-04,2,NA,NA,0.063,0,NA,466,46600,100000,0.0154846973238,6.90386379854e-6,63025.75753269438
1713,141007033,2021-03-25,2,00609664,Gaston Pond,0.06187511,0,01080204001147,390,39004,250000,0.01382223678,6.77176767007e-6,61875.10501103801
1595,141008812,2005-10-04,2,NA,NA,0.061,0,NA,466,46600,100000,0.0110392779147,6.65781293708e-6,60810.36571919546
292,141009038,2005-10-04,2,NA,NA,0.06,0,NA,466,46600,100000,0.0117248288731,6.5865555462e-6,60212.57601681839
3237,141008662,2005-10-04,2,NA,NA,0.06,0,NA,466,46600,100000,0.0195970551333,6.56338345074e-6,59888.80530892014
3257,141008689,2021-03-25,2,NA,NA,0.05900782,0,NA,466,46600,100000,0.0141244760649,6.46556714436e-6,59007.82376273001
859,136019651,2005-06-06,2,NA,NA,0.058,0,NA,466,46600,5000000,0.0242944063521,6.32779793579e-6,57750.699441893245
1623,141008821,2005-10-04,2,NA,NA,0.058,0,NA,466,46600,100000,0.0125805363713,6.3039761538e-6,57584.122595467605
1570,141008870,2005-10-04,2,NA,NA,0.057,0,NA,466,46600,100000,0.0192855646092,6.18575228976e-6,56510.02597101667
1645,141008848,2005-10-04,2,NA,NA,0.056,0,NA,466,46600,100000,0.0164040957593,6.17648364527e-6,56416.5339255766
162,136019557,2005-06-06,2,NA,NA,0.055,0,NA,466,46600,5000000,0.0157976149336,5.97534467929e-6,54511.63749880246
1656,141008768,2005-10-04,2,NA,NA,0.053,0,NA,466,46600,100000,0.0111734178111,5.83148828411e-6,53256.656323138945
1612,141008901,2005-10-04,2,NA,NA,0.053,0,NA,466,46600,100000,0.0105878868039,5.80111512423e-6,53010.184923472814
1632,141007235,2005-10-04,2,NA,NA,0.053,0,01080204004021,390,39004,250000,0.0129006533605,5.75558865552e-6,52646.20309015996
253,141008922,2005-10-04,2,NA,NA,0.052,0,NA,466,46600,100000,0.0172671524321,5.7288627645e-6,52347.317519248536
854,141008699,2005-10-04,2,NA,NA,0.051,0,NA,466,46600,100000,0.00990576470331,5.59435448043e-6,51061.06245366344
1668,141009143,2005-10-04,2,NA,NA,0.051,0,NA,466,46600,50000,0.0112590901846,5.53289713168e-6,50611.255596911535
1710,141007031,2021-03-25,2,NA,NA,0.04872207,0,01080204001146,390,39009,250000,0.0154973926241,5.33334606346e-6,48722.07090189836
254,141009069,2005-10-04,2,NA,NA,0.046,0,NA,466,46600,50000,0.00932747058198,5.06265138209e-6,46285.95071715303
286,141009129,2005-10-04,2,NA,NA,0.045,0,NA,466,46600,50000,0.0152686547949,4.92422980474e-6,45034.95239444674
1618,141008837,2005-10-04,2,NA,NA,0.044,0,NA,466,46600,50000,0.0104337633972,4.78643022956e-6,43719.91795535163
65,136019620,2005-06-06,2,NA,NA,0.044,0,NA,466,46600,5000000,0.010946271922,4.77943509404e-6,43611.237246331184
252,141008911,2005-10-04,2,NA,NA,0.043,0,NA,466,46600,50000,0.00919701484065,4.65200389661e-6,42503.541205107234
336,141007217,2021-03-25,2,NA,NA,0.04235571,0,01080204001182,390,39004,250000,0.0130166798769,4.63139727229e-6,42355.70668465196
307,141009115,2005-10-04,2,NA,NA,0.041,0,NA,466,46600,50000,0.0145072569957,4.53172364147e-6,41444.79882394946
1628,141008839,2005-10-04,2,NA,NA,0.058,0,NA,466,46600,100000,0.0127035378503,6.33207606926e-6,41037.89179019522
297,141008829,2005-10-04,2,NA,NA,0.041,0,NA,466,46600,50000,0.0103911155819,4.46232427502e-6,40746.57323386465
1574,141008855,2005-10-04,2,NA,NA,0.04,0,NA,466,46600,50000,0.0186206504914,4.41945919738e-6,40373.578732004644
906,141006937,2021-03-25,2,00609637,Brown Pond,0.04030048,0,01080204001132,390,39004,500000,0.0157671538525,4.41326377292e-6,40300.47851754325
68,136019631,2005-06-06,2,NA,NA,0.04,0,NA,466,46600,5000000,0.016535034732,4.39616887969e-6,40115.71522088337
1692,141008960,2005-10-04,2,NA,NA,0.04,0,NA,466,46600,50000,0.00983657710229,4.38808209753e-6,40112.842813213676
1586,141008997,2005-10-04,2,NA,NA,0.039,0,NA,466,46600,50000,0.0097699568743,4.2822743979e-6,39146.55393686735
1709,141007096,2021-03-25,2,NA,NA,0.03879899,0,01080204001167,390,39004,250000,0.0171035978921,4.24447201347e-6,38798.989376754354
58,136019513,2005-06-06,2,NA,NA,0.038,0,NA,466,46600,5000000,0.0162202046903,4.19997978924e-6,38310.08294463565
1605,141008919,2005-10-04,2,NA,NA,0.038,0,NA,466,46600,50000,0.00913700858232,4.19005887368e-6,38292.46490376945
897,141008845,2005-10-04,2,NA,NA,0.038,0,NA,466,46600,50000,0.00846162064861,4.17945658258e-6,38165.73023098626
285,141007044,2005-10-04,2,NA,NA,0.037,0,01080204003860,390,39004,500000,0.0151647470673,4.04416926969e-6,36943.059467757026
78,136019598,2005-06-06,2,NA,NA,0.037,0,NA,466,46600,5000000,0.0160885185956,4.03598018753e-6,36822.445407018575
1558,141008794,2005-10-04,2,NA,NA,0.037,0,NA,466,46600,50000,0.0130246296807,4.02300713638e-6,36734.859115487896
1604,141008814,2005-10-04,2,NA,NA,0.037,0,NA,466,46600,50000,0.0109762555184,4.00565414539e-6,36583.88165534368
257,141008865,2005-10-04,2,NA,NA,0.036,0,NA,466,46600,50000,0.00838876656605,3.92767874115e-6,35874.69671954952
328,141008942,2005-10-04,2,NA,NA,0.035,0,NA,466,46600,2000000,0.00998920923253,3.88302651905e-6,35484.736199383464
43,136019524,2005-06-06,2,NA,NA,0.035,0,NA,466,46600,5000000,0.0120031495572,3.85935420573e-6,35204.019597857216
823,141006983,2021-03-25,2,00605498,Gauco Pond,0.03401306,0,01080204001413,390,39004,250000,0.00878089409331,3.72495528841e-6,34013.064316494114
1678,141008765,2005-10-04,2,NA,NA,0.034,0,NA,466,46600,100000,0.0103084091487,3.67765677746e-6,33586.31897027998
1577,141008792,2005-10-04,2,NA,NA,0.034,0,NA,466,46600,50000,0.00871815477198,3.67247737968e-6,33541.586682485395
251,141008926,2005-10-04,2,NA,NA,0.032,0,NA,466,46600,50000,0.00903375839862,3.53236368012e-6,32275.154525487684
3254,141008696,2005-10-04,2,NA,NA,0.032,0,NA,466,46600,50000,0.00800645957306,3.53564376237e-6,32274.038388160247
814,141009152,2005-10-04,2,NA,NA,0.032,0,NA,466,46600,50000,0.00821899721299,3.51451446244e-6,32142.775590863457
