OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
2862,74290791,2003-03-06,2,NA,NA,0.327,0,NA,466,46600,250000,0.0234278812481,3.09542256483e-5,326748.05421695067
2852,74290713,2013-11-12,2,00322675,Sea Pond,0.25442028,47.2,03130009001712,390,39010,500000,0.0283033184307,2.41040582696e-5,254420.28164432093
1,74291073,2003-03-06,2,NA,NA,0.107,0,NA,466,46600,100000,0.0131331242599,1.01166662308e-5,106829.38547253585
1390,74290717,2003-03-06,2,NA,NA,0.099,0,NA,466,46600,100000,0.0405926386134,9.34979911541e-6,98683.2507267955
1350,74290975,2003-03-06,2,NA,NA,0.097,0,NA,466,46600,250000,0.0154768971016,9.1825140403e-6,96948.11945203366
1392,74291109,2003-03-06,2,NA,NA,0.088,0,NA,466,46600,100000,0.0145453209859,8.31258198747e-6,87788.95101827098
1409,74290801,2003-03-06,2,NA,NA,0.076,0,NA,466,46600,100000,0.0159828982484,7.18676824659e-6,75861.36025851457
2866,74290765,2003-03-06,2,NA,NA,0.072,0,NA,466,46600,100000,0.00950637683999,6.86122336317e-6,72422.91845851624
1349,74290723,2003-03-06,2,NA,NA,0.072,0,NA,466,46600,100000,0.00981622596147,6.81937239657e-6,71974.84249332186
1377,74291007,2003-03-06,2,NA,NA,0.07,0,NA,466,46600,100000,0.0098591028995,6.64788682824e-6,70188.69678453862
1391,74290749,2003-03-06,2,NA,NA,0.067,0,NA,466,46600,100000,0.0146474345585,6.34563457365e-6,66971.76535729761
1415,74290773,2003-03-06,2,NA,NA,0.065,0,NA,466,46600,100000,0.012724795844,6.12958857876e-6,64694.4424383631
1398,74290837,2003-03-06,2,NA,NA,0.063,0,NA,466,46600,100000,0.00889327191692,6.01446466798e-6,63485.94814266823
1321,74290845,2003-03-06,2,NA,NA,0.059,0,NA,466,46600,100000,0.0115936766117,5.61678680487e-6,59293.53947122255
20,74291157,2003-03-06,2,NA,NA,0.058,0,NA,466,46600,100000,0.0114927110178,5.4927306407e-6,58014.53072559193
1375,74291011,2003-03-06,2,NA,NA,0.052,57.9,03130009001715,390,39010,250000,0.00854348881228,4.96821393565e-6,52454.65160801355
1360,74290763,2003-03-06,2,NA,NA,0.049,0,NA,466,46600,50000,0.0121295996125,4.67939183661e-6,49391.338951006765
2863,74290673,2003-03-06,2,00324395,Turkey Pond,0.048,47.2,03130009002115,390,39010,250000,0.0119419620467,4.56177015693e-6,48145.652991185896
1381,74290737,2003-03-06,2,NA,NA,0.047,0,NA,466,46600,50000,0.013610368909,4.42551372846e-6,46704.95014783915
1332,74290779,2003-03-06,2,NA,NA,0.046,0,NA,466,46600,50000,0.00994084764935,4.34457511319e-6,45858.049224462215
1638,47196754,2002-07-23,2,NA,NA,0.044,0,NA,466,46600,50000,0.00735466708406,4.21338246026e-6,44466.816939780954
1327,74290769,2003-03-06,2,NA,NA,0.043,53,03130009001711,390,39010,250000,0.00740367207659,4.11337425837e-6,43413.69836785528
1353,74291047,2003-03-06,2,NA,NA,0.042,0,NA,466,46600,50000,0.00845932980639,3.95113610772e-6,41722.29820467252
3667,47196784,2002-07-23,2,NA,NA,0.04,0,NA,466,46600,50000,0.00795760466515,3.82002640368e-6,40319.071370041
1667,47199302,2002-07-23,2,00310787,Baptizing Pond,0.04,48.8,03130008002819,390,39010,250000,0.00734473652594,3.77659476383e-6,39854.82260333095
1411,74291021,2003-03-06,2,NA,NA,0.038,0,NA,466,46600,50000,0.00703238950256,3.62003765322e-6,38223.57638813037
12,74291093,2003-03-06,2,NA,NA,0.037,45.7,03130009002649,390,39010,250000,0.00857510181242,3.47273393144e-6,36671.94965776644
1401,74291041,2003-03-06,2,NA,NA,0.036,0,NA,466,46600,50000,0.00708731809814,3.37745613839e-6,35662.00532758841
3,74291165,2003-03-06,2,NA,NA,0.036,0,NA,466,46600,50000,0.00716307597966,3.37478528286e-6,35646.05380761251
1356,74290829,2003-03-06,2,NA,NA,0.035,47.2,03130009001714,390,39010,250000,0.0076949548506,3.34374921408e-6,35295.28802975881
14,74291135,2003-03-06,2,NA,NA,0.035,0,NA,466,46600,50000,0.00881909024111,3.27632850317e-6,34602.59332931845
739,47196714,2002-07-23,2,NA,NA,0.05,0,NA,466,46600,50000,0.00911061868059,4.7746314985e-6,29660.577997123473
1331,74290733,2003-03-06,2,NA,NA,0.029,0,NA,466,46600,50000,0.00670374263336,2.73254084928e-6,28837.867673779838
21,74291101,2003-03-06,2,NA,NA,0.116,0,NA,466,46600,100000,0.0135922000134,1.10088835658e-5,27852.945747784805
2861,74290655,2003-03-06,2,NA,NA,0.027,0,NA,466,46600,50000,0.00628873652296,2.59101042086e-6,27344.371579115163
1361,74291039,2003-03-06,2,NA,NA,0.025,0,NA,466,46600,50000,0.00628952328436,2.35805426602e-6,24898.593205704354
15,74291181,2003-03-06,2,NA,NA,0.024,0,NA,466,46600,50000,0.0104091676959,2.29178904844e-6,24209.6316153495
2848,74290813,2003-03-06,2,NA,NA,0.023,45.7,03130009002611,390,39010,250000,0.00644986567653,2.17555275545e-6,22965.345313955564
1602,47199292,2002-07-23,2,NA,NA,0.02,48.8,03130008000787,390,39010,100000,0.00501339560603,1.85287292536e-6,19553.347265934106
1335,74290721,2003-03-06,2,NA,NA,0.019,45.7,03130009002594,390,39010,100000,0.0189186795175,1.82703195212e-6,19283.38580906822
1125,47200666,2002-07-23,2,NA,NA,0.019,40.2,03130008000822,390,39010,100000,0.00585639082463,1.8054240166e-6,19085.249418886116
2868,74290649,2003-03-06,2,NA,NA,0.019,0,NA,466,46600,50000,0.00491729554513,1.80537024994e-6,19052.53796355019
1810,47200576,2002-07-23,2,NA,NA,0.019,45.1,03130008003468,390,39010,100000,0.00896092392469,1.79939920552e-6,19019.97602839349
1376,74290677,2003-03-06,2,NA,NA,0.019,0,NA,466,46600,50000,0.00604766636932,1.78226456114e-6,18809.2246081857
2865,74290969,2003-03-06,2,NA,NA,0.019,0,NA,466,46600,50000,0.00493600556544,1.76603929899e-6,18646.775636236183
2851,74290675,2003-03-06,2,NA,NA,0.018,0,NA,466,46600,50000,0.00496247906456,1.7389206235e-6,18352.82436895091
1428,74290667,2003-03-06,2,NA,NA,0.018,42.7,03130009005268,390,39010,100000,0.00640112727359,1.72460445686e-6,18200.44040904101
1365,74290817,2003-03-06,2,NA,NA,0.018,0,NA,466,46600,50000,0.0051636421188,1.68835790587e-6,17820.307520204224
1434,47196866,2002-07-23,2,NA,NA,0.017,0,NA,466,46600,50000,0.00466972272298,1.56869432625e-6,16568.217938251793
2867,74290939,2003-03-06,2,NA,NA,0.015,0,NA,466,46600,50000,0.00505470277148,1.45865799326e-6,15400.717981528025
1416,74290669,2003-03-06,2,NA,NA,0.015,0,NA,466,46600,50000,0.00482843929418,1.42764276665e-6,15066.629790031002
1362,74290957,2003-03-06,2,NA,NA,0.015,0,NA,466,46600,50000,0.00449095696508,1.42513117112e-6,15045.750702343881
1341,74290953,2003-03-06,2,NA,NA,0.015,57.9,03130009002630,390,39010,100000,0.00513641286058,1.40750854674e-6,14859.051912912866
1456,47199842,2002-07-23,2,NA,NA,0.014,42.7,03130008003122,390,39010,100000,0.00558036777647,1.34908449357e-6,14246.610096501186
1342,74290959,2003-03-06,2,NA,NA,0.014,52.1,03130009002634,390,39010,100000,0.00457025587145,1.34645177136e-6,14214.836291682848
1354,74290807,2003-03-06,2,NA,NA,0.014,51.8,03130009002596,390,39010,100000,0.00478814624223,1.33311209142e-6,14070.718618544168
1344,74290815,2003-03-06,2,NA,NA,0.014,45.7,03130009002606,390,39010,100000,0.00457700927175,1.32208741148e-6,13955.763746773824
1406,74290999,2003-03-06,2,NA,NA,0.013,0,NA,466,46600,50000,0.00446794098191,1.26851992718e-6,13393.22905670706
1412,74290757,2003-03-06,2,NA,NA,0.013,48.8,03130009002591,390,39010,100000,0.00474216166176,1.24818087834e-6,13173.476092356905
34,47200624,2002-07-23,2,NA,NA,0.013,29,03130008003485,390,39010,100000,0.00835417527063,1.18681053407e-6,12545.494619270608
1501,47199344,2002-07-23,2,00313866,Edwards Pond,0.012,48.8,03130008002832,390,39010,100000,0.00455372627483,1.18366355411e-6,12491.734475800418
2853,74290699,2003-03-06,2,NA,NA,0.012,47.9,03130009002114,390,39010,100000,0.00416539170609,1.18296205855e-6,12485.411269408418
1403,74290671,2003-03-06,2,NA,NA,0.012,0,NA,466,46600,24000,0.00459131697778,1.17681347412e-6,12419.398034586105
2690,47199998,2002-07-23,2,NA,NA,0.012,42.4,03130008003224,390,39010,100000,0.00448765533693,1.16199683418e-6,12274.566186114622
24,74291103,2003-03-06,2,NA,NA,0.012,0,NA,466,46600,24000,0.00649474681247,1.15324302754e-6,12178.787818780227
1345,74290933,2003-03-06,2,NA,NA,0.012,57.9,03130009002627,390,39010,100000,0.00399894028787,1.14328369201e-6,12069.274849588051
1400,74290745,2003-03-06,2,NA,NA,0.011,0,NA,466,46600,24000,0.00383235696875,1.0193671124e-6,10758.126643596217
1383,74290819,2003-03-06,2,NA,NA,0.011,0,NA,466,46600,24000,0.00406923200395,1.01661836352e-6,10730.450311370194
2845,47196750,2002-07-23,2,NA,NA,0.011,0,NA,466,46600,24000,0.00412230890913,1.01512399019e-6,10712.849520721298
1405,74290739,2003-03-06,2,NA,NA,0.01,53.3,03130009002587,390,39010,100000,0.00376623079334,9.61940579212e-7,10152.132297225296
22,74291151,2003-03-06,2,NA,NA,0.01,0,NA,466,46600,24000,0.00362846147207,9.60128021475e-7,10140.460824992042
