OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
1040,149032027,2014-07-29,2,00116358,Coffeeville Lake,26.14099919,0,03160201007004,390,39004,5000000,3.67423171021,0.00249761003283,2559058.380672015
111,149033119,2006-06-12,2,NA,NA,2.014,0,03160201009038,390,39004,2000000,0.462453283879,1.91824986773e-4,1970795.4017431564
3242,149033089,2006-06-12,2,NA,NA,0.826,0,03160201002903,390,39004,1000000,0.213043903804,7.87069101756e-5,826328.1517512902
241,149033046,2006-06-12,2,NA,NA,0.397,0,03160201002908,390,39004,1000000,0.0537115338266,3.78307978826e-5,397180.65634388756
183,149035407,2006-06-12,2,NA,NA,0.296,0,NA,466,46600,100000,0.0607692726054,2.81550513149e-5,295651.3832328133
219,149032906,2006-06-12,2,00116372,Coker Bend Lake,0.171,0,03160201002904,390,39004,500000,0.0913823464957,1.62603920784e-5,170690.99041243928
3255,149033051,2006-06-12,2,NA,NA,0.167,0,03160201002910,390,39004,500000,0.039193586066,1.58972267552e-5,166910.71925768675
103,149032802,2006-06-12,2,NA,NA,0.142,0,03160201002896,390,39004,500000,0.0297394621489,1.35435081512e-5,142152.193997093
3246,149035398,2006-06-12,2,NA,NA,0.137,0,NA,466,46600,100000,0.0160898839304,1.3048036744e-5,137006.57516779006
137,149032903,2006-06-12,2,NA,NA,0.118,0,03160201002906,390,39004,500000,0.0382991344538,1.12143759119e-5,117728.41684503002
121,149032860,2006-06-12,2,NA,NA,0.087,0,03160201002900,390,39004,500000,0.031350462963,8.30253885426e-6,87151.89937006365
159,149035355,2006-06-12,2,NA,NA,0.083,0,NA,466,46600,100000,0.0174295175602,7.86772739097e-6,82597.42663501948
201,149035369,2006-06-12,2,NA,NA,0.08,0,NA,466,46600,100000,0.0186006084792,7.57952006969e-6,79575.79586709477
974,149035332,2006-06-12,2,NA,NA,0.06,0,NA,466,46600,100000,0.0145751109843,5.70352537777e-6,59867.08723650873
3254,149035364,2006-06-12,2,NA,NA,0.054,0,NA,466,46600,100000,0.00909303669495,5.11047023299e-6,53651.82471002545
3250,149035335,2006-06-12,2,NA,NA,0.049,0,NA,466,46600,50000,0.0168899694265,4.68690036995e-6,49197.44502388965
246,149035383,2006-06-12,2,NA,NA,0.048,0,NA,466,46600,50000,0.0163600468924,4.60914053455e-6,48393.091784611344
242,149035321,2006-06-12,2,NA,NA,0.043,0,NA,466,46600,50000,0.0109249096535,4.12182415388e-6,43257.967966327444
975,149035328,2006-06-12,2,NA,NA,0.043,0,NA,466,46600,50000,0.0115920644271,4.06684305626e-6,42684.688838200644
155,149032883,2006-06-12,2,NA,NA,0.042,0,03160201002902,390,39004,250000,0.0127477753161,3.98400649429e-6,41821.86485211784
196,149035380,2006-06-12,2,NA,NA,0.039,0,NA,466,46600,50000,0.0112314975383,3.7471221817e-6,39342.08366712462
102,149035405,2006-06-12,2,NA,NA,0.043,0,NA,466,46600,50000,0.0179535027352,4.06647088964e-6,37071.254067431204
199,149033048,2006-06-12,2,NA,NA,0.037,0,03160201002909,390,39004,250000,0.0121401668617,3.50090725139e-6,36756.28491584491
245,149032729,2006-06-12,2,NA,NA,0.035,0,03160201002895,390,39004,250000,0.00996193279318,3.31844260973e-6,34823.13671325962
200,149035296,2006-06-12,2,NA,NA,0.027,0,NA,466,46600,50000,0.010564460638,2.53003462551e-6,26545.774734960214
971,149032836,2006-06-12,2,NA,NA,0.026,0,03160201008998,390,39004,250000,0.0136425105744,2.4901218056e-6,26137.717219543178
239,149035396,2006-06-12,2,NA,NA,0.025,0,NA,466,46600,50000,0.00796309607602,2.37198160595e-6,24904.788863904774
3247,149035401,2006-06-12,2,NA,NA,0.022,0,NA,466,46600,50000,0.00609628368619,2.13336543337e-6,22402.409816343337
1431,149035367,2006-06-12,2,NA,NA,0.022,0,NA,466,46600,50000,0.00673838036593,2.10757637345e-6,22124.890208145604
190,149032950,2006-06-12,2,NA,NA,0.022,0,03160201009024,390,39004,250000,0.00892821098533,2.07150568022e-6,21746.483793683878
3257,149033106,2006-06-12,2,NA,NA,0.02,0,03160201009058,390,39004,250000,0.0104534158814,1.90971774293e-6,20054.294464398175
