OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
1029,135582492,2005-05-11,2,NA,NA,0.114,0,NA,466,46600,250000,0.0275730448294,1.34920566603e-5,114471.53595857602
1041,135580759,2005-05-12,2,NA,NA,0.098,0,10130203001666,390,39004,500000,0.0143751969414,1.15290685421e-5,97795.36018607393
743,135580800,2005-05-12,2,01028633,Dead Heart Slough,0.089,500.5,10130203005021,390,39009,500000,0.0352161197628,1.04338550853e-5,88512.87050516065
747,135582489,2005-05-11,2,NA,NA,0.043,0,NA,466,46600,50000,0.0184245750828,5.08075113527e-6,43093.963109803386
1031,135580740,2005-05-12,2,NA,NA,0.037,0,10130203004982,390,39004,250000,0.0170062581214,4.36585333095e-6,37033.985140722245
1017,135580798,2005-05-12,2,NA,NA,0.03,0,10130203005035,390,39004,250000,0.0205543208653,3.57015102223e-6,30285.683942061412
1003,135581034,2005-05-12,2,NA,NA,0.025,0,10130203001727,390,39004,250000,0.0126747275145,2.89404065538e-6,24562.018812720664
10468,135580992,2010-05-25,2,NA,NA,0.069,0,10130101031228,390,39004,250000,0.0580206285388,8.12724766149e-6,21831.347645401722
1027,135580791,2005-05-12,2,NA,NA,0.013,0,10130203005028,390,39004,100000,0.00620138054057,1.53346624194e-6,13008.513806447387
3122,135581174,2005-05-12,2,NA,NA,0.01,0,10130203005382,390,39004,250000,0.00707455802521,1.20909465403e-6,10265.625789587386
