OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
2531,52191505,2002-08-20,2,NA,NA,0.771,2836,19060402016533,390,39009,0,0.0853462195505,1.69604807013e-4,770754.6873641959
1450,52191429,2002-08-20,2,NA,NA,0.299,2824,19060402016506,390,39009,0,0.041998828207,6.59770513174e-5,299488.9723830966
791,52191473,2002-08-20,2,NA,NA,0.197,0,19060402016523,390,39004,0,0.0347779269867,4.33743646984e-5,196997.18009873456
2821,52191507,2002-08-20,2,NA,NA,0.171,2808,19060402016534,390,39009,0,0.0273551466775,3.75786987612e-5,170750.5391257458
53,52191573,2002-08-20,2,NA,NA,0.166,0,19060402016552,390,39004,0,0.0341722056066,3.65668476777e-5,166279.4984800996
2091,52191365,2002-08-20,2,NA,NA,0.143,0,19060402016491,390,39004,0,0.0435250406174,3.14456776046e-5,142639.5458967297
1811,52191475,2002-08-20,2,NA,NA,0.135,0,19060402016524,390,39004,0,0.0319285109704,2.98149141386e-5,135417.77813833812
1120,52191593,2002-08-20,2,NA,NA,0.129,2918,19060402016554,390,39009,0,0.0236039739123,2.83694132943e-5,129039.3799719289
2659,52191395,2002-08-20,2,NA,NA,0.124,0,19060402016500,390,39004,0,0.02977919359,2.7226088809e-5,123542.06431086117
2041,52191457,2002-08-20,2,NA,NA,0.099,0,19060402016515,390,39004,0,0.0228287247774,2.17252027281e-5,98644.87711465475
3107,52191463,2002-08-20,2,NA,NA,0.082,0,19060402016518,390,39004,0,0.0168343899079,1.79867721598e-5,81680.0401292285
1855,52191385,2002-08-20,2,NA,NA,0.077,0,19060402016495,390,39004,0,0.02336754066,1.68670654898e-5,76523.6985322343
1993,52191601,2002-08-20,2,NA,NA,0.068,0,19060402016556,390,39004,0,0.0175922534366,1.50036952223e-5,68250.1433241961
1945,52191377,2002-08-20,2,NA,NA,0.065,0,19060402016493,390,39004,0,0.0234252820926,1.43656559777e-5,65170.28802076692
1451,52191529,2002-08-20,2,NA,NA,0.061,0,19060402016539,390,39004,0,0.0172761601604,1.34654973782e-5,61196.59747420298
1566,52191447,2002-08-20,2,NA,NA,0.059,0,19060402016512,390,39004,0,0.0196904890364,1.29145715977e-5,58635.56066300231
2766,52191619,2002-08-20,2,NA,NA,0.058,0,19060402016560,390,39004,0,0.016541496744,1.27521005449e-5,58025.83182700604
1176,52191481,2002-08-20,2,NA,NA,0.056,0,19060402016526,390,39004,0,0.0162233139487,1.22943671463e-5,55846.89994867379
7017,52191283,2015-09-23,2,NA,NA,0.04430597,0,19060401010587,390,39004,0,0.0182112418251,9.78504075003e-6,44305.966170909465
792,52191569,2002-08-20,2,NA,NA,0.043,0,19060402016551,390,39004,0,0.0119211053123,9.48398521501e-6,43122.55773077905
108,52191581,2002-08-20,2,NA,NA,0.043,0,19060402016553,390,39004,0,0.0119454960645,9.45649387508e-6,43005.0080477586
211,52191425,2002-08-20,2,NA,NA,0.041,0,19060402016505,390,39004,0,0.0125255061404,8.99252468314e-6,40814.885278725706
3059,52191631,2002-08-20,2,NA,NA,0.036,0,19060402016564,390,39004,0,0.0164543370855,7.93001654422e-6,36091.08498997043
2093,52191567,2002-08-20,2,NA,NA,0.036,0,19060402016550,390,39004,0,0.0173579743096,7.89450322882e-6,35891.75388866302
1448,52191367,2002-08-20,2,NA,NA,0.035,0,19060402016492,390,39004,0,0.0157711362054,7.8143420267e-6,35444.636856049765
519,52191503,2002-08-20,2,NA,NA,0.032,0,19060402016532,390,39004,0,0.0102594366678,7.00029534939e-6,31802.99983388337
1177,52191549,2002-08-20,2,NA,NA,0.029,0,19060402016544,390,39004,0,0.0122161911866,6.45268187104e-6,29332.351221423523
2471,52191551,2002-08-20,2,NA,NA,0.027,0,19060402016545,390,39004,0,0.01093401869,5.92829395046e-6,26949.41200267151
363,52191487,2002-08-20,2,NA,NA,0.027,0,19060402016527,390,39004,0,0.010688309565600001,5.87110636399e-6,26669.190897275344
1449,52191399,2002-08-20,2,NA,NA,0.026,0,19060402016501,390,39004,0,0.0120242118859,5.75722063544e-6,26123.869887031615
2576,52191555,2002-08-20,2,NA,NA,0.026,0,19060402016547,390,39004,0,0.0106676337386,5.73296444443e-6,26062.278495770297
467,52191499,2002-08-20,2,NA,NA,0.025,0,19060402016531,390,39004,0,0.0099232289963,5.41413425653e-6,24595.08622833714
256,52191643,2002-08-20,2,NA,NA,0.054,3008,19060402016569,390,39009,0,0.0168344351204,1.18593972987e-5,23957.842209968716
416,52191533,2002-08-20,2,NA,NA,0.023,0,19060402016540,390,39004,0,0.0125672640189,5.13295002858e-6,23328.320890691597
1898,52191603,2002-08-20,2,NA,NA,0.022,0,19060402016557,390,39004,0,0.0135904465808,4.801368745e-6,21840.1296931603
