OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
745,139451046,2013-03-07,2,01293571,Melton Hill Lake,23.30088157,0,06010207004619,390,39004,5000000,3.2821637814,0.00232875778761,12456648.597032294
485,139450196,2021-03-01,2,01274439,Whiteoak Lake,9.18971511,0,06010207005110,390,39004,5000000,1.29169764655,9.17361451767e-4,2492311.328777546
458,139450918,2005-08-31,2,NA,NA,0.095,0,06010207000763,390,39004,500000,0.0227466402007,9.52513098822e-6,95383.46238538183
495,139450940,2005-08-31,2,NA,NA,0.059,0,06010207000766,390,39004,500000,0.0183223632942,5.89859688178e-6,59079.95300211999
330,139450784,2005-08-31,2,NA,NA,0.05,0,06010207000756,390,39004,500000,0.0170438918638,5.04046641766e-6,50440.34251647894
517,139450882,2005-08-31,2,NA,NA,0.05,0,06010207000762,390,39004,250000,0.0183184662993,5.03282307544e-6,50391.08182283552
356,139450814,2005-08-31,2,NA,NA,0.043,0,06010207004895,390,39004,250000,0.00869625863013,4.29008320225e-6,42935.98980956245
375,139450829,2005-08-31,2,NA,NA,0.038,0,06010207000757,390,39004,250000,0.0127784251423,3.7471988817e-6,37506.93531565975
319,139450830,2005-08-31,2,NA,NA,0.037,0,06010207000758,390,39004,250000,0.0148612161137,3.7272704217400002e-006,37306.602599352474
329,139450756,2005-08-31,2,NA,NA,0.036,0,06010207000755,390,39004,250000,0.0104233025012,3.58522013998e-6,35876.93815904856
454,139450931,2005-08-31,2,NA,NA,0.02,0,06010207004989,390,39004,250000,0.0158636027528,2.03491512032e-6,20379.621626207925
752,139451062,2005-08-31,2,NA,NA,0.018,0,NA,466,46600,50000,0.00544535026963,1.82263390101e-6,18259.997846252285
214,139450969,2005-08-31,2,NA,NA,0.016,0,06010207000772,390,39004,100000,0.00498707163534,1.55713118852e-6,15601.50180643471
496,139450914,2005-08-31,2,NA,NA,0.014,0,06010207004973,390,39004,250000,0.00543531403115,1.3921722735e-6,13940.991732983708
820,139450833,2005-08-31,2,NA,NA,0.014,0,06010207004913,390,39004,100000,0.00608264941074,1.38498536237e-6,13861.055721346012
526,139450870,2005-08-31,2,NA,NA,0.013,0,06010207004946,390,39004,100000,0.00817414340843,1.32435392482e-6,13258.814662866294
364,139450733,2005-08-31,2,NA,NA,0.012,0,06010207004838,390,39004,100000,0.00611295580903,1.24289065393e-6,12435.903909454588
240,139450876,2005-08-31,2,NA,NA,0.011,0,06010207004952,390,39004,100000,0.00451210203506,1.08793332996e-6,10893.45084482184
305,139450867,2005-08-31,2,NA,NA,0.01,0,06010207004943,390,39004,250000,0.00602729035598,1.04413014786e-6,10454.549794894789
