OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
13076,125973115,2014-09-19,2,00285485,Levys Prairie,7.05015581,0,NA,466,46600,1000000,0.328144820322,6.56840763023e-4,7050155.810219713
2525,125973074,2014-03-21,2,00286883,Mill Creek,3.79463385,0,NA,466,46600,5000000,0.292843910815,3.53701775557e-4,3794633.8554149386
9828,125973054,2014-03-21,2,00307122,Ashley Prairie,3.73996767,0,NA,466,46600,5000000,0.218300945548,3.48678277388e-4,3739967.6728434204
1832,125973043,2014-03-21,2,00294224,Putnam Prairie,1.80162398,0,NA,466,46600,5000000,0.137999061658,1.67996042181e-4,1801623.976648882
7399,125960445,2014-03-21,2,NA,NA,1.62827305,0,NA,466,46600,5000000,0.163903595424,1.51774309881e-4,1628273.014801037
20828,{6D8A9737-E3E7-4238-B571-BA195DAD6B61},2017-06-12,2,00291925,Swan Lake,1.52504466,0,03080103041557,390,39004,2000000,0.0456157384964,1.4220146084e-4,1525044.6709597367
8744,113631239,2019-04-16,2,NA,NA,1.05907064,0,NA,466,46600,250000,0.0654216866725,9.87399945758e-5,1059070.6560787787
8370,125973888,2011-09-26,2,00277647,Long Lake,0.949,90,03080103019310,390,39009,1000000,0.0516841655303,8.84667382743e-5,949267.4605463215
4732,125960914,2014-03-21,2,00283194,Goose Lake,0.71428797,0,03080103003600,390,39004,5000000,0.0479696325498,6.65858500189e-5,714287.9636042574
4082,113638769,2019-10-16,2,00290657,Santa Fe Lake,20.90211724,141,03110206010595,390,39009,5000000,0.265022785433,0.00194938240095,688519.9896470308
8376,125973882,2011-09-26,2,00279340,Brantley Lake,0.603,0,03080103019305,390,39004,1000000,0.0307658904467,5.61952279634e-5,602914.6603007959
4260,125961006,2014-03-21,2,NA,NA,0.44799412,0,NA,466,46600,250000,0.0542881890377,4.17471132316e-5,447994.1132407731
8023,125960989,2014-03-21,2,00281148,Cue Lake,0.44780242,0,03080103003289,390,39004,1000000,0.0294337651818,4.17335240271e-5,447802.42036353145
6241,125960449,2014-03-21,2,00286695,Lake Melrose,0.43095548,106,03080103019323,390,39009,5000000,0.0242077748989,4.01720057967e-5,430955.4759351155
3448,125973876,2014-03-21,2,00289983,Ross Lake,0.4159142,95,03080103003599,390,39009,5000000,0.0251952260025,3.87726939383e-5,415914.1934152395
9233,113638923,2019-10-15,2,NA,NA,0.40472938,0,03110206010592,466,46600,250000,0.0674070682484,3.77292922491e-5,400248.4389865388
3091,113638923,2019-10-15,2,NA,NA,0.40472938,0,03110206010592,466,46600,250000,0.0674070682484,3.77292922491e-5,400248.4389865388
14473,125973034,2014-03-21,2,00283182,Goodson Prairie,1.95052175,0,NA,466,46600,5000000,0.137938358452,1.81892624795e-4,396802.38064596243
3812,125960634,2014-03-21,2,00289951,Lake Rosa,0.39421043,97,03080103003244,390,39009,1000000,0.0219266245374,3.67527040349e-5,394210.42904294096
11145,125960611,2009-09-10,2,00283183,Lake Goodson,0.372,93,03080103003307,390,39009,1000000,0.0222260231513,3.46844093345e-5,372182.9599348153
