OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
1629,70337319,2016-07-21,2,01560763,Lake Alice,5.35728687,0,07070001007450,390,39004,5000000,0.509293486694,6.16548795292e-4,989614.6762533241
3730,70336869,2003-02-15,2,01566094,Harrison Lake,0.786,0,07070001003178,390,39004,1000000,0.112445308683,9.04936782102e-5,785850.7494782992
3795,{11A9F58E-AB09-4EAA-BB9B-78557F5A28C1},2014-08-27,2,NA,NA,0.35851531,0,07070001008702,390,39004,1000000,0.0434867176211,4.12563216456e-5,358515.31108336337
371,70336911,2009-09-10,2,01581547,Lake Clara,0.338,0,07070001003183,390,39004,1000000,0.0398885884019,3.89700372035e-5,338449.56806054723
3040,70336931,2003-02-15,2,01571320,Pickerel Lake,0.292,0,07070001003177,390,39004,500000,0.0234629280372,3.36100550446e-5,291886.87143554294
3146,70337633,2003-02-15,2,01565474,Gerbick Lake,0.142,0,07070001003238,390,39004,500000,0.0157493318249,1.62806608228e-5,141524.63308164175
1290,70337537,2003-02-15,2,01561244,Bass Lake,0.136,0,07070001003225,390,39004,500000,0.0170249755397,1.56007017026e-5,135593.02272324357
969,70337651,2003-02-15,2,01569515,Miller Lake,0.099,0,07070001003237,390,39004,500000,0.0227611541879,1.1405463209e-5,99149.89882304368
2481,70336849,2003-02-15,2,01572201,Reno Lake,0.089,0,07070001003162,390,39004,500000,0.0202699405919,1.02390521727e-5,88911.66457984303
2137,70336667,2003-02-15,2,01574772,Squaw Lake,0.33,0,07070001003148,390,39004,1000000,0.0395106809477,3.80599089086e-5,73072.89420378524
370,70336891,2003-02-15,2,01572656,Round Lake,0.06,0,07070001003174,390,39004,250000,0.0111263255233,6.94230851404e-6,60287.27993432362
1949,70337201,2003-02-15,2,01571207,Perch Lake,0.058,0,07070001003198,390,39004,250000,0.00954687472277,6.65070572376e-6,57782.75721662119
589,70336781,2003-02-15,2,NA,NA,0.045,0,07070001003155,390,39004,250000,0.00877769375242,5.13485141074e-6,44583.6846049336
1956,70336699,2003-02-15,2,NA,NA,0.043,0,07070001007257,390,39004,250000,0.0176452652053,4.96401271347e-6,43093.33417508229
3669,70336885,2003-02-15,2,01569957,Mud Lake,0.043,0,07070001003172,390,39004,250000,0.00819505365979,4.95240294908e-6,43006.89759335492
2532,70337085,2003-02-15,2,NA,NA,0.038,0,07070001007396,390,39004,250000,0.0128166182297,4.37353988869e-6,37991.95711208461
3659,70337671,2003-02-15,2,NA,NA,0.028,0,07070001003239,390,39004,250000,0.0102550403618,3.2683180699e-6,28414.002183014993
3249,70337023,2003-02-15,2,01564788,Extrom Lake,0.026,0,07070001003188,390,39004,250000,0.00715809762033,2.99701579069e-6,26032.343955688746
1630,70337497,2003-02-15,2,NA,NA,0.024,0,07070001007567,390,39004,250000,0.0088523250344,2.81832203127e-6,24494.44432135648
299,70337453,2003-02-15,2,NA,NA,0.021,0,07070001003219,390,39004,250000,0.00652943524052,2.43501692356e-6,21162.388360411394
3668,70336863,2003-02-15,2,01562710,Capitola Lake,0.019,0,07070001003164,390,39004,100000,0.00670598349491,2.22490404198e-6,19320.2280699588
3429,70337709,2003-02-15,2,01571815,Posey Lake,0.019,0,07070001003243,390,39004,100000,0.00555011949844,2.1595135133e-6,18775.263704072684
2371,70336785,2003-02-15,2,NA,NA,0.017,0,07070001003154,390,39004,100000,0.0059186087073,1.94580233172e-6,16894.475706178593
973,70337039,2003-02-15,2,NA,NA,0.015,0,07070001003187,390,39004,100000,0.00571259417952,1.74281804796e-6,15138.495904981071
1407,70336807,2003-02-15,2,NA,NA,0.014,0,07070001003158,390,39004,100000,0.00457860375343,1.55871406627e-6,13533.84204762688
580,70337355,2003-02-15,2,NA,NA,0.01,0,07070001007509,390,39004,100000,0.0044946318671,1.19578046521e-6,10390.910547829233
238,77358506,2003-03-27,2,NA,NA,0.01,0,07050003001487,390,39004,100000,0.0129639533635,1.18473633851e-6,10233.212292863522
