OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
1900,33989951,2012-06-29,2,00258786,Courtright Reservoir,6.5957872,0,18030010002013,390,39004,5000000,0.1867136775,6.68594493584e-4,2090515.032423625
1820,33990741,2012-06-29,2,00269260,Wishon Reservoir,3.87588303,0,18030010002529,390,39004,5000000,0.158934156208,3.92453391832e-4,233123.813866362
2808,33994685,2002-03-08,2,NA,NA,0.094,0,NA,466,46600,100000,0.0182111782424,9.55185973478e-6,94338.85809079843
2650,33989761,2008-02-28,2,00267579,Sportsman Lake,0.042,0,18030010002020,390,39004,250000,0.0102112638193,4.27174120229e-6,42145.30134747221
1000,33994789,2008-02-28,2,NA,NA,0.034,0,NA,466,46600,100000,0.0111924783395,3.44788846261e-6,34067.45391499033
1004,33994879,2008-02-28,2,NA,NA,0.033,0,NA,466,46600,100000,0.011150872325,3.30218169418e-6,32633.902912260237
3430,33989787,2008-02-28,2,00266794,Hatch Lake,0.031,0,18030010002022,390,39004,500000,0.014068599867,3.10222574591e-6,30608.029991237447
2840,33994587,2008-02-28,2,NA,NA,0.028,0,NA,466,46600,50000,0.00954369603234,2.85230671338e-6,28158.608171364307
2786,33994557,2008-02-28,2,NA,NA,0.027,0,NA,466,46600,50000,0.00932185383687,2.73971244258e-6,27043.106164137367
1957,33991355,2008-02-28,2,NA,NA,0.026,0,18030010002178,390,39004,250000,0.00826843111241,2.63221031404e-6,26007.597455842886
1848,33990049,2008-02-28,2,01667322,Clear Lake,0.023,0,18030010002052,390,39004,250000,0.0065170227146,2.35481269712e-6,23242.18033814244
2775,33994607,2008-02-28,2,NA,NA,0.018,0,NA,466,46600,50000,0.00540497543928,1.77820823003e-6,17559.27819067426
947,33994839,2013-09-27,2,NA,NA,0.01735463,0,NA,466,46600,50000,0.00698460515738,1.75603603929e-6,17354.633256161236
2774,33994609,2002-03-08,2,NA,NA,0.017,0,NA,466,46600,50000,0.00559542380805,1.70720411693e-6,16857.926687552594
2820,33994575,2008-02-28,2,NA,NA,0.016,0,NA,466,46600,50000,0.00628445858759,1.63617936827e-6,16150.597642038949
934,33994821,2008-02-28,2,NA,NA,0.014,0,NA,466,46600,250000,0.00646409341306,1.40754525118e-6,13909.88372521603
2837,33994511,2008-02-28,2,NA,NA,0.014,0,NA,466,46600,50000,0.00511155810818,1.40748982228e-6,13890.76448243494
2844,33994533,2008-02-28,2,NA,NA,0.013,0,NA,466,46600,50000,0.00506040178811,1.34335938471e-6,13256.982252020389
2828,33994519,2008-02-28,2,NA,NA,0.012,0,NA,466,46600,24000,0.00618643865046,1.24708446058e-6,12307.521394988158
2845,33994617,2008-02-28,2,NA,NA,0.011,0,NA,466,46600,24000,0.00546170949409,1.12007272761e-6,11060.465635610497
