OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
3151,70336953,2003-02-15,2,01571506,Pine Lake,0.536,0,07070001003184,390,39004,1000000,0.0433214177712,6.16681447486e-5,535680.6725652972
2137,70336667,2003-02-15,2,01574772,Squaw Lake,0.33,0,07070001003148,390,39004,1000000,0.0395106809477,3.80599089086e-5,257342.75137064815
2369,70336769,2003-02-15,2,01566478,Hilts Lake,0.247,0,07070001003152,390,39004,500000,0.0265389728717,2.83945413741e-5,246538.716474797
1460,70336501,2003-02-15,2,01566408,Hilderbrand Lake,0.237,0,07070001003137,390,39004,500000,0.024765183186,2.73165413174e-5,237089.64293175456
2482,70336893,2003-02-15,2,01565530,Gillette Lake,0.135,0,07070001003170,390,39004,500000,0.0201157726723,1.55989982605e-5,135480.70082563226
3720,70337359,2003-02-15,2,01561470,Beaver Lake,0.082,0,07070001003213,390,39004,500000,0.02342092431,9.45520032397e-6,82173.01878146548
3021,70337665,2003-02-15,2,01566639,Homestead Lake,0.073,0,07070001003240,390,39004,250000,0.0173624715988,8.39089614058e-6,72951.20698960079
2,70336887,2021-04-30,2,01576080,Wickham Lake,0.068,0,07070001003169,390,39004,250000,0.0122684221307,7.83371588899e-6,68037.515874792065
976,70337561,2003-02-15,2,NA,NA,0.056,0,07070001003227,390,39004,250000,0.0110356214435,6.46035115107e-6,56157.08541047934
1704,70336803,2003-02-15,2,01564884,Fawn Lake,0.052,0,07070001003157,390,39004,250000,0.0110738412385,6.0203967769e-6,52274.395170388016
3194,152372167,2007-01-31,2,01568177,Little Bass Lake,0.052,0,07070002002690,390,39004,250000,0.0123402932617,5.94727229489e-6,51706.9661286131
414,70337117,2003-02-15,2,NA,NA,0.051,0,07070001003192,390,39004,250000,0.0174517297333,5.88533723286e-6,51133.467179752886
2668,70337379,2003-02-15,2,NA,NA,0.042,0,07070001003207,390,39004,250000,0.0153040545326,4.78704110291e-6,41602.861035099486
3197,70337631,2003-02-15,2,NA,NA,0.03,0,07070001003234,390,39004,250000,0.00808089604768,3.43205088934e-6,29837.45413904998
463,70337383,2003-02-15,2,NA,NA,0.028,0,07070001003209,390,39004,250000,0.0075505065134,3.25256585434e-6,28267.027519494528
2790,70336903,2003-02-15,2,NA,NA,0.025,0,07070001003176,390,39004,250000,0.0062420678616,2.89350556212e-6,25130.389694116602
3087,70337211,2003-02-15,2,NA,NA,0.025,0,07070001003197,390,39004,250000,0.00645646551216,2.84336462225e-6,24707.287339779432
2260,70336951,2003-02-15,2,01560664,Abel Lake,0.025,0,07070001003181,390,39004,250000,0.00642393910537,2.82128388458e-6,24505.10265361186
2013,70337609,2003-02-15,2,NA,NA,0.021,0,07070001003230,390,39004,250000,0.0067544201217,2.47251788568e-6,21494.321109755314
760,70337679,2003-02-15,2,NA,NA,0.021,0,07070001007639,390,39004,250000,0.00811411530175,2.44376347908e-6,21246.646601676475
2362,70337673,2003-02-15,2,NA,NA,0.017,0,07070001007637,390,39004,100000,0.00545339367692,1.93481532507e-6,16821.609830877278
982,70336921,2003-02-15,2,NA,NA,0.016,0,07070001007329,390,39004,100000,0.00885111329206,1.83992854092e-6,15980.525752872592
3483,70337181,2003-02-15,2,NA,NA,0.014,0,07070001007438,390,39004,100000,0.00603834051173,1.6211673172e-6,14086.115405055461
3493,70337265,2003-02-15,2,NA,NA,0.013,0,07070001003201,390,39004,100000,0.00478388432324,1.5112609931e-6,13132.316148148384
2005,70337429,2003-02-15,2,NA,NA,0.013,0,07070001007538,390,39004,100000,0.00510218146205,1.50739469756e-6,13101.093745574588
2182,70337155,2003-02-15,2,NA,NA,0.013,0,07070001007427,390,39004,100000,0.00660175418382,1.49896998201e-6,13024.143231396563
1697,70337645,2003-02-15,2,NA,NA,0.012,0,07070001007628,390,39004,100000,0.00651875665959,1.42714463334e-6,12407.478971578996
1515,70337475,2003-02-15,2,NA,NA,0.015,0,07070001007558,390,39004,100000,0.00650558876146,1.68598249033e-6,10501.720698705642
