OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
4935,34391136,2002-02-25,2,NA,NA,0.153,0,10270104009945,390,39004,500000,0.0166963889578,1.59227427572e-5,153072.03087544345
11562,34391140,2002-02-25,2,NA,NA,0.115,0,10270104010005,390,39004,500000,0.0191155490257,1.20051889427e-5,115416.41354463063
4006,34391138,2002-02-25,2,NA,NA,0.101,0,10270104009965,390,39004,500000,0.0142889566728,1.05278998851e-5,101210.99426281126
553,34378890,2007-06-06,2,NA,NA,0.047,0,10270104002389,390,39004,250000,0.0119933782258,4.85720776931e-6,46664.492098302115
8227,34380306,2010-12-02,2,NA,NA,0.038,0,10270104002410,390,39004,250000,0.0117789103696,3.95010426418e-6,37972.772567182896
10850,34379512,2007-06-06,2,NA,NA,0.03,0,10270104009546,390,39004,250000,0.00935520551691,3.13802591029e-6,30155.860327514005
11784,34379974,2007-06-06,2,NA,NA,0.022,0,10270104009775,390,39004,250000,0.00653602596053,2.2899139929e-6,22010.217561981175
5320,152643102,2007-02-22,2,NA,NA,0.019,0,10270104015629,390,39004,100000,0.00792519216756,1.98480913386e-6,19072.07767409552
8377,34391130,2002-02-25,2,NA,NA,0.017,0,10270104009584,390,39004,100000,0.00606821463654,1.79006856109e-6,17203.00280654058
11126,34381384,2002-02-25,2,NA,NA,0.015,0,10270104002431,390,39004,100000,0.00808675851268,1.59981085505e-6,15385.440075513907
10928,34380670,2002-02-25,2,NA,NA,0.014,0,10270104010111,390,39004,100000,0.00511396345661,1.50583300645e-6,14477.595536652952
11229,34380036,2007-06-06,2,NA,NA,0.014,0,10270104009803,390,39004,100000,0.0100171548516,1.49521530197e-6,14372.165097862831
1578,34378730,2010-12-02,2,NA,NA,0.014,0,10270104009171,390,39004,100000,0.00508252227473,1.4352136979e-6,13787.443066613283
3948,34381934,2002-02-25,2,NA,NA,0.013,0,10270104002443,390,39004,100000,0.00483676214057,1.35296900692e-6,13014.529232733417
11500,34379886,2002-02-25,2,NA,NA,0.011,0,10270104009731,390,39004,100000,0.00442324644397,1.19527703853e-6,11488.279380090768
6477,152643789,2007-02-22,2,NA,NA,0.011,0,10270104015880,390,39000,100000,0.00448152275797,1.17380034969e-6,11280.8571647887
8496,34379646,2002-02-25,2,NA,NA,0.011,0,10270104009613,390,39004,100000,0.00478226148032,1.17249017637e-6,11268.137154963333
6208,120031229,2004-03-16,2,NA,NA,0.045,0,10270104009835,390,39004,250000,0.0202436150721,4.67985019656e-6,10894.373367193954
