OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
4250,147306331,2013-10-24,2,NA,NA,0.80353892,0,10160002002545,390,39004,1000000,0.0755751054628,9.52525219232e-5,803538.9011982642
6688,147306256,2006-04-14,2,01028901,Eric Lake,0.57,0,10160002002514,390,39004,1000000,0.0324397955959,6.75129659704e-5,569528.0119776552
1826,147304925,2006-04-14,2,01027676,Alkali Lake,0.53,0,10160002002282,390,39004,1000000,0.0531104933903,6.28922582537e-5,529729.4944480791
2764,147306063,2006-04-14,2,NA,NA,0.516,0,10160002002472,390,39004,1000000,0.0498688921834,6.120995601e-5,516196.38437413244
148,147305465,2006-04-14,2,NA,NA,0.492,0,10160002002372,390,39004,1000000,0.0494679729381,5.83907168098e-5,492151.898442464
7084,147306416,2013-10-24,2,NA,NA,0.47125574,0,10160002002562,390,39004,1000000,0.0499406752624,5.58562364783e-5,471255.73839148134
430,147304870,2006-04-14,2,01030495,Northwestern Lake,0.466,0,10160002002265,390,39004,1000000,0.0355516097344,5.53737277348e-5,466358.7466074233
762,147304864,2006-04-14,2,01032736,West Lake,0.404,0,10160002002283,390,39004,1000000,0.0371041037793,4.79758776289e-5,404086.8282282803
4626,147306100,2006-04-14,2,NA,NA,0.375,0,10160002002485,390,39004,1000000,0.0391792429959,4.45240433951e-5,375496.9028888105
3013,147306646,2013-10-24,2,NA,NA,1.3285371,0,10160002007904,390,39004,2000000,0.0517325194497,1.57376626219e-4,290829.38677545637
2695,147304690,2006-04-14,2,NA,NA,0.274,0,10160002002233,390,39004,500000,0.0358850370615,3.25827283122e-5,274372.1708827104
6452,147306597,2006-04-14,2,NA,NA,0.269,0,10160002007869,390,39004,500000,0.0261592893993,3.18225491946e-5,268590.96265368664
5801,147305016,2006-04-14,2,NA,NA,0.258,0,10160002002291,390,39004,500000,0.0451409008619,3.0621364196e-5,257944.21633874305
385,147306062,2006-04-14,2,NA,NA,0.235,0,10160002002471,390,39004,1000000,0.0387102226388,2.78479383536e-5,234856.75155887305
5853,145412577,2010-05-25,2,NA,NA,0.287,0,10160002009242,390,39004,2000000,0.0245818798194,3.40100862588e-5,221554.38634597196
1548,147306181,2006-04-14,2,NA,NA,0.215,0,10160002002493,390,39004,500000,0.024087968616,2.54426676787e-5,214598.13003082515
7587,147308516,2013-10-24,2,NA,NA,0.20304492,0,NA,390,39011,500000,0.0222979711363,2.4071570903e-5,203044.91840280517
504,147306443,2006-04-14,2,NA,NA,0.181,0,10160002002566,390,39004,500000,0.0234575190383,2.14831098666e-5,181265.55168865703
3464,147306076,2006-04-14,2,NA,NA,0.181,0,10160002002470,390,39004,500000,0.0286562068035,2.14596813889e-5,180983.24184057876
1913,147306288,2006-04-14,2,01028163,Brush Lake,0.179,0,10160002002516,390,39004,500000,0.0182059556519,2.11971228586e-5,178812.31183867494
7070,147305283,2006-04-14,2,NA,NA,0.162,0,10160002002352,390,39001,500000,0.0240048913095,1.92006810338e-5,161800.29502943694
1423,147306323,2006-04-14,2,NA,NA,0.158,0,10160002002531,390,39004,500000,0.0258258815651,1.8728771073e-5,157999.20911496412
3789,147306501,2006-04-14,2,NA,NA,0.309,0,10160002002589,390,39004,500000,0.0318329829496,3.6605099902e-5,156201.24961022846
4890,147306404,2006-04-14,2,NA,NA,0.146,0,10160002002569,390,39004,500000,0.0261152295503,1.73064678974e-5,146013.026220554
824,147306009,2006-04-14,2,NA,NA,0.142,0,10160002002446,390,39004,500000,0.0297447270436,1.680857603e-5,141735.72174898032
6300,147305757,2006-04-14,2,NA,NA,0.142,0,10160002002408,390,39004,500000,0.023532461479,1.68076416567e-5,141692.25650402973
2378,147305332,2006-04-14,2,NA,NA,0.141,0,10160002002354,390,39004,500000,0.0276958642164,1.67189778592e-5,140893.40511408207
6687,147306187,2006-04-14,2,NA,NA,0.134,0,10160002002494,390,39004,500000,0.0205216371333,1.58891190996e-5,134008.0326617593
1957,147305037,2006-04-14,2,NA,NA,0.133,0,10160002002289,390,39004,500000,0.0213166181601,1.575896336e-5,132745.3459933917
