OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
751,150816702,2018-11-05,2,NA,NA,0.19717649,0,17070105020801,466,46601,100000,0.0240603050944,2.28387176727e-5,197176.48627821993
773,150816705,2018-01-04,2,NA,NA,0.06627207,0,17070105020747,466,46601,100000,0.0208716496872,7.67376404153e-6,66272.06655184965
775,150816706,2018-01-04,2,NA,NA,0.06172249,0,17070105020749,466,46601,100000,0.0164207555036,7.14818809675e-6,61722.49159760031
748,150816703,2018-01-04,2,NA,NA,0.06009022,0,17070105020805,466,46601,100000,0.0106417699209,6.95815705876e-6,60090.21797938389
777,150816708,2018-01-04,2,NA,NA,0.05629799,0,17070105020752,466,46601,100000,0.0162354876265,6.5176496719e-6,56297.991228743456
830,{6C6DBC84-88D4-47C9-B350-F3DE4D585D92},2020-09-08,2,NA,NA,0.03458775,0,NA,466,46600,0,0.00771150780564,4.00800170439e-6,34587.754322839086
763,150815387,2018-01-04,2,01531517,Soda Peaks Lake,0.03058633,0,17070105001680,390,39004,250000,0.00786658479651,3.54501874906e-6,30586.33195243009
796,150816711,2018-01-04,2,NA,NA,0.02866994,0,17070105020799,466,46601,50000,0.00820341280696,3.3193306425e-6,28669.944452440308
779,150815467,2006-09-11,2,NA,NA,0.025,0,17070105018656,390,39004,250000,0.00761032987824,2.86692387777e-6,24756.83826054845
749,150816712,2018-01-04,2,NA,NA,0.02431839,0,17070105020677,466,46601,50000,0.00755087195369,2.81526842277e-6,24318.388926796615
766,150815448,2018-01-04,2,NA,NA,0.02406862,0,17070105018635,390,39004,250000,0.0101110125557,2.78760952959e-6,24068.6179618611
798,150815415,2018-01-04,2,NA,NA,0.0230746,0,17070105018608,390,39004,1000000,0.010830449162,2.67332470841e-6,23074.59600457287
770,150816709,2018-01-04,2,NA,NA,0.02287036,0,17070105020742,466,46601,50000,0.00911481867118,2.64765732251e-6,22870.362629163836
756,150815441,2018-01-04,2,NA,NA,0.01066318,0,17070105018630,390,39004,1000000,0.0070356154415,1.23512141631e-6,10663.175256016126
