OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
530,38674255,2002-04-15,2,NA,NA,0.169,0,NA,466,46600,500000,0.0270432944919,1.92912382734e-5,169103.55361598788
579,38674191,2002-04-15,2,NA,NA,0.165,0,NA,466,46600,100000,0.0577187882503,1.88318656171e-5,165138.27433209855
546,38674195,2002-04-15,2,NA,NA,0.143,0,NA,466,46600,250000,0.0450441913873,1.62634819896e-5,142634.87250719836
490,120029883,2004-03-16,2,NA,NA,0.084,0,10070001001364,390,39004,500000,0.0134029387627,9.53992779261e-6,83649.48299253013
545,38674159,2002-04-15,2,NA,NA,0.078,0,NA,466,46600,100000,0.0276803728952,8.91942057674e-6,78187.82114252765
524,38674241,2002-04-15,2,NA,NA,0.102,0,NA,466,46600,100000,0.0230739662544,1.15661489063e-5,73394.20226404257
521,38674757,2002-04-15,2,NA,NA,0.044,0,10070001001365,390,39004,250000,0.0120638891491,5.01974783548e-6,44002.072876659135
135,38674763,2002-04-15,2,NA,NA,0.038,0,10070001001388,390,39001,250000,0.0118852736079,4.386736633e-6,38481.57948580664
563,38674259,2002-04-15,2,NA,NA,0.037,0,NA,466,46600,100000,0.0163432545483,4.25684510009e-6,37337.63015752379
509,38674215,2002-04-15,2,NA,NA,0.034,0,NA,466,46600,50000,0.00990336065838,3.83796322804e-6,33668.75284027809
133,38674765,2002-04-15,2,01609272,Lost Lake,0.03,0,10070001001397,390,39001,250000,0.0119801824561,3.37263777841e-6,29598.39706687024
471,38674697,2018-12-14,2,01588590,Floating Island Lake,0.02280519,0,10070001001381,390,39004,250000,0.00660928971234,2.60002315414e-6,22805.192731974115
553,38674261,2002-04-15,2,NA,NA,0.023,0,NA,466,46600,50000,0.00972049144545,2.59147193422e-6,22735.56759159993
512,38674679,2018-12-14,2,NA,NA,0.02223512,0,10070001001368,390,39004,250000,0.0101338117484,2.53630460548e-6,22235.120647451186
507,38673717,2002-04-15,2,NA,NA,0.031,0,NA,466,46600,50000,0.0151101998536,3.54276127119e-6,20665.245341397822
586,38674709,2002-04-15,2,NA,NA,0.019,0,NA,466,46600,50000,0.00709098314812,2.11826640009e-6,18582.784091469228
571,38674217,2002-04-15,2,NA,NA,0.017,0,NA,466,46600,50000,0.00614529492655,1.95306939172e-6,17138.616756721865
200,38674729,2002-04-15,2,NA,NA,0.017,0,10070001001402,390,39001,100000,0.0056940160761,1.8913752275e-6,16597.7983124897
511,38674185,2018-12-14,2,01585639,Blacktail Pond,0.016138,0,10070001001623,390,39004,100000,0.00592099320934,1.84034320318e-6,16137.999351811872
577,38673715,2012-09-24,2,NA,NA,0.01989533,2211.6,10070001001359,390,39009,250000,0.0056741265031,2.26947507966e-6,15480.996608441696
582,38674267,2002-04-15,2,NA,NA,0.015,0,NA,466,46600,50000,0.00915693231799,1.73231838135e-6,15203.96583084669
265,38674733,2002-04-15,2,NA,NA,0.015,0,NA,466,46600,50000,0.00701217551723,1.69414829918e-6,14868.014522824436
536,38674265,2002-04-15,2,NA,NA,0.013,0,NA,466,46600,50000,0.0091299733688,1.51412560642e-6,13286.64230594784
474,38674229,2002-04-15,2,NA,NA,0.013,0,NA,466,46600,24000,0.00452946999273,1.43286982445e-6,12575.683030503147
505,38674677,2018-12-14,2,NA,NA,0.0119851,0,10070001006534,390,39004,100000,0.00478702279643,1.36711670134e-6,11985.097430989612
535,38674205,2002-04-15,2,NA,NA,0.012,0,NA,466,46600,24000,0.00630547950183,1.32726581367e-6,11642.422163531184
575,38674693,2002-04-15,2,NA,NA,0.011,0,NA,466,46600,24000,0.00582302216318,1.24257837172e-6,10895.679197472055
551,38674257,2002-04-15,2,NA,NA,0.011,0,10070001001366,390,39004,100000,0.00520031090253,1.21803469846e-6,10678.799461998977
542,38674155,2019-07-05,2,NA,NA,0.0100235,0,10070001001362,390,39001,100000,0.00439254111947,1.14349188088e-6,10023.503352045547
